County Subdivision,Median Household Income,Year
"Beavercreek CCD, Clackamas County, Oregon",93279,2019
"Wilsonville CCD, Clackamas County, Oregon",76123,2019
"Yoder CCD, Clackamas County, Oregon",81944,2019
"Estacada CCD, Clackamas County, Oregon",72458,2019
"Redland CCD, Clackamas County, Oregon",81440,2019
"Northwest Clackamas CCD, Clackamas County, Oregon",82525,2019
"Canby CCD, Clackamas County, Oregon",73757,2019
"Molalla CCD, Clackamas County, Oregon",66434,2019
"Mount Hood CCD, Clackamas County, Oregon",79383,2019
"Colton CCD, Clackamas County, Oregon",70757,2019
"Sandy CCD, Clackamas County, Oregon",78138,2019
"Mulino CCD, Clackamas County, Oregon",82672,2019
"Gresham CCD, Multnomah County, Oregon",58223,2019
"Portland East CCD, Multnomah County, Oregon",68604,2019
"Portland West CCD, Multnomah County, Oregon",82038,2019
"Corbett CCD, Multnomah County, Oregon",80909,2019
"Skyline CCD, Multnomah County, Oregon",95000,2019
"Beaverton-Hillsboro CCD, Washington County, Oregon",82338,2019
"North Plains CCD, Washington County, Oregon",89563,2019
"Forest Grove-Cornelius CCD, Washington County, Oregon",65825,2019
"Chehalem Mountains CCD, Washington County, Oregon",84130,2019
"Rockcreek CCD, Washington County, Oregon",89922,2019
"Coast Range CCD, Washington County, Oregon",91076,2019
"Canby CCD, Clackamas County, Oregon",76601,2020
"Mount Hood CCD, Clackamas County, Oregon",71703,2020
"Redland CCD, Clackamas County, Oregon",80887,2020
"Beavercreek CCD, Clackamas County, Oregon",99750,2020
"Colton CCD, Clackamas County, Oregon",69180,2020
"Estacada CCD, Clackamas County, Oregon",71529,2020
"Molalla CCD, Clackamas County, Oregon",73405,2020
"Mulino CCD, Clackamas County, Oregon",90850,2020
"Northwest Clackamas CCD, Clackamas County, Oregon",85076,2020
"Sandy CCD, Clackamas County, Oregon",82335,2020
"Wilsonville CCD, Clackamas County, Oregon",76484,2020
"Yoder CCD, Clackamas County, Oregon",87969,2020
"Portland West CCD, Multnomah County, Oregon",84064,2020
"Corbett CCD, Multnomah County, Oregon",85603,2020
"Gresham CCD, Multnomah County, Oregon",60801,2020
"Portland East CCD, Multnomah County, Oregon",70803,2020
"Skyline CCD, Multnomah County, Oregon",80325,2020
"Beaverton-Hillsboro CCD, Washington County, Oregon",85659,2020
"Chehalem Mountains CCD, Washington County, Oregon",98977,2020
"Coast Range CCD, Washington County, Oregon",102578,2020
"Forest Grove-Cornelius CCD, Washington County, Oregon",71221,2020
"North Plains CCD, Washington County, Oregon",98298,2020
"Rockcreek CCD, Washington County, Oregon",95912,2020
"Beavercreek CCD, Clackamas County, Oregon",101283,2021
"Canby CCD, Clackamas County, Oregon",83884,2021
"Colton CCD, Clackamas County, Oregon",83614,2021
"Estacada CCD, Clackamas County, Oregon",67600,2021
"Molalla CCD, Clackamas County, Oregon",78991,2021
"Mount Hood CCD, Clackamas County, Oregon",79568,2021
"Mulino CCD, Clackamas County, Oregon",97976,2021
"Northwest Clackamas CCD, Clackamas County, Oregon",90286,2021
"Redland CCD, Clackamas County, Oregon",93209,2021
"Sandy CCD, Clackamas County, Oregon",91625,2021
"Wilsonville CCD, Clackamas County, Oregon",79922,2021
"Yoder CCD, Clackamas County, Oregon",96365,2021
"Corbett CCD, Multnomah County, Oregon",96875,2021
"Gresham CCD, Multnomah County, Oregon",64509,2021
"Portland East CCD, Multnomah County, Oregon",75695,2021
"Portland West CCD, Multnomah County, Oregon",89005,2021
"Skyline CCD, Multnomah County, Oregon",85313,2021
"Beaverton-Hillsboro CCD, Washington County, Oregon",90933,2021
"Chehalem Mountains CCD, Washington County, Oregon",101131,2021
"Coast Range CCD, Washington County, Oregon",104926,2021
"Forest Grove-Cornelius CCD, Washington County, Oregon",75016,2021
"North Plains CCD, Washington County, Oregon",102480,2021
"Rockcreek CCD, Washington County, Oregon",101653,2021
"Beavercreek CCD, Clackamas County, Oregon",114926,2022
"Canby CCD, Clackamas County, Oregon",92312,2022
"Colton CCD, Clackamas County, Oregon",90938,2022
"Estacada CCD, Clackamas County, Oregon",72244,2022
"Molalla CCD, Clackamas County, Oregon",84630,2022
"Mount Hood CCD, Clackamas County, Oregon",86933,2022
"Mulino CCD, Clackamas County, Oregon",111047,2022
"Northwest Clackamas CCD, Clackamas County, Oregon",97109,2022
"Redland CCD, Clackamas County, Oregon",104029,2022
"Sandy CCD, Clackamas County, Oregon",106167,2022
"Wilsonville CCD, Clackamas County, Oregon",83610,2022
"Yoder CCD, Clackamas County, Oregon",110688,2022
"Corbett CCD, Multnomah County, Oregon",108971,2022
"Gresham CCD, Multnomah County, Oregon",72214,2022
"Portland East CCD, Multnomah County, Oregon",82892,2022
"Portland West CCD, Multnomah County, Oregon",97369,2022
"Skyline CCD, Multnomah County, Oregon",94205,2022
"Beaverton-Hillsboro CCD, Washington County, Oregon",99030,2022
"Chehalem Mountains CCD, Washington County, Oregon",113963,2022
"Coast Range CCD, Washington County, Oregon",105925,2022
"Forest Grove-Cornelius CCD, Washington County, Oregon",81050,2022
"North Plains CCD, Washington County, Oregon",116384,2022
"Rockcreek CCD, Washington County, Oregon",111141,2022
"Beavercreek CCD, Clackamas County, Oregon",122212,2023
"Canby CCD, Clackamas County, Oregon",100013,2023
"Colton CCD, Clackamas County, Oregon",80903,2023
"Estacada CCD, Clackamas County, Oregon",77424,2023
"Molalla CCD, Clackamas County, Oregon",87242,2023
"Mount Hood CCD, Clackamas County, Oregon",89327,2023
"Mulino CCD, Clackamas County, Oregon",113500,2023
"Northwest Clackamas CCD, Clackamas County, Oregon",101721,2023
"Redland CCD, Clackamas County, Oregon",114035,2023
"Sandy CCD, Clackamas County, Oregon",111358,2023
"Wilsonville CCD, Clackamas County, Oregon",85925,2023
"Yoder CCD, Clackamas County, Oregon",109921,2023
"Corbett CCD, Multnomah County, Oregon",108924,2023
"Gresham CCD, Multnomah County, Oregon",75587,2023
"Portland East CCD, Multnomah County, Oregon",85396,2023
"Portland West CCD, Multnomah County, Oregon",99744,2023
"Skyline CCD, Multnomah County, Oregon",101827,2023
"Beaverton-Hillsboro CCD, Washington County, Oregon",103788,2023
"Chehalem Mountains CCD, Washington County, Oregon",119651,2023
"Coast Range CCD, Washington County, Oregon",110509,2023
"Forest Grove-Cornelius CCD, Washington County, Oregon",87868,2023
"North Plains CCD, Washington County, Oregon",115699,2023
"Rockcreek CCD, Washington County, Oregon",111995,2023
