County Subdivision,Year,Median Income,Median Rent,Median Home Value,County,Latitude,Longitude
"Beavercreek CCD, Clackamas County, Oregon",2019,5,90272,468400,Clackamas,45.2879294,-122.5353423
"Wilsonville CCD, Clackamas County, Oregon",2019,5,93536,456100,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",2019,5,93587,495400,Clackamas,45.1381769,-122.6817567
"Estacada CCD, Clackamas County, Oregon",2019,5,91088,368800,Clackamas,45.2877198,-122.3351638
"Redland CCD, Clackamas County, Oregon",2019,5,92618,480300,Clackamas,45.3434553,-122.4928664
"Northwest Clackamas CCD, Clackamas County, Oregon",2019,5,92261,402200,Clackamas,45.4074434,-122.5688975
"Canby CCD, Clackamas County, Oregon",2019,5,90442,334100,Clackamas,45.262692,-122.6957402
"Molalla CCD, Clackamas County, Oregon",2019,5,91955,299200,Clackamas,45.1475439,-122.5771264
"Mount Hood CCD, Clackamas County, Oregon",2019,5,92023,371200,Clackamas,45.2023855,-122.1188945
"Colton CCD, Clackamas County, Oregon",2019,5,90595,347400,Clackamas,45.1721192,-122.4374803
"Sandy CCD, Clackamas County, Oregon",2019,5,92788,348300,Clackamas,45.3973141,-122.2630704
"Mulino CCD, Clackamas County, Oregon",2019,5,92040,429300,Clackamas,45.2212415,-122.5816606
"Gresham CCD, Multnomah County, Oregon",2019,51,91249,294300,Multnomah,45.5044715,-122.4356657
"Portland East CCD, Multnomah County, Oregon",2019,51,92518,383900,Multnomah,45.5165442,-122.6626984
"Portland West CCD, Multnomah County, Oregon",2019,51,92520,557100,Multnomah,45.4548406,-122.7325965
"Corbett CCD, Multnomah County, Oregon",2019,51,90663,422500,Multnomah,45.5318,-122.2912
"Skyline CCD, Multnomah County, Oregon",2019,51,92975,592000,Multnomah,45.5145659,-122.5863212
"Beaverton-Hillsboro CCD, Washington County, Oregon",2019,67,90289,384400,Washington,45.5226664,-122.9898071
"North Plains CCD, Washington County, Oregon",2019,67,92210,433400,Washington,45.59778499999999,-123.0008365
"Forest Grove-Cornelius CCD, Washington County, Oregon",2019,67,91156,304400,Washington,45.5195,-123.1053
"Chehalem Mountains CCD, Washington County, Oregon",2019,67,90510,478000,Washington,45.3278962,-122.88871
"Rockcreek CCD, Washington County, Oregon",2019,67,92678,441200,Washington,45.5510497,-122.8741537
"Coast Range CCD, Washington County, Oregon",2019,67,90561,433800,Washington,45.5469616,-123.1386021
"Canby CCD, Clackamas County, Oregon",2020,5,90442,365500,Clackamas,45.262692,-122.6957402
"Mount Hood CCD, Clackamas County, Oregon",2020,5,92023,367100,Clackamas,45.2023855,-122.1188945
"Redland CCD, Clackamas County, Oregon",2020,5,92618,475600,Clackamas,45.3434553,-122.4928664
"Beavercreek CCD, Clackamas County, Oregon",2020,5,90272,501200,Clackamas,45.2879294,-122.5353423
"Colton CCD, Clackamas County, Oregon",2020,5,90595,391500,Clackamas,45.1721192,-122.4374803
"Estacada CCD, Clackamas County, Oregon",2020,5,91088,392700,Clackamas,45.2877198,-122.3351638
"Molalla CCD, Clackamas County, Oregon",2020,5,91955,335100,Clackamas,45.1475439,-122.5771264
"Mulino CCD, Clackamas County, Oregon",2020,5,92040,478200,Clackamas,45.2212415,-122.5816606
"Northwest Clackamas CCD, Clackamas County, Oregon",2020,5,92261,430600,Clackamas,45.4074434,-122.5688975
"Sandy CCD, Clackamas County, Oregon",2020,5,92788,364700,Clackamas,45.3973141,-122.2630704
"Wilsonville CCD, Clackamas County, Oregon",2020,5,93536,467600,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",2020,5,93587,517400,Clackamas,45.1381769,-122.6817567
"Portland West CCD, Multnomah County, Oregon",2020,51,92520,586300,Multnomah,45.4548406,-122.7325965
"Corbett CCD, Multnomah County, Oregon",2020,51,90663,461700,Multnomah,45.5318,-122.2912
"Gresham CCD, Multnomah County, Oregon",2020,51,91249,324300,Multnomah,45.5044715,-122.4356657
"Portland East CCD, Multnomah County, Oregon",2020,51,92518,410200,Multnomah,45.5165442,-122.6626984
"Skyline CCD, Multnomah County, Oregon",2020,51,92975,668000,Multnomah,45.5145659,-122.5863212
"Beaverton-Hillsboro CCD, Washington County, Oregon",2020,67,90289,410900,Washington,45.5226664,-122.9898071
"Chehalem Mountains CCD, Washington County, Oregon",2020,67,90510,495800,Washington,45.3278962,-122.88871
"Coast Range CCD, Washington County, Oregon",2020,67,90561,453800,Washington,45.5469616,-123.1386021
"Forest Grove-Cornelius CCD, Washington County, Oregon",2020,67,91156,339100,Washington,45.5195,-123.1053
"North Plains CCD, Washington County, Oregon",2020,67,92210,459600,Washington,45.59778499999999,-123.0008365
"Rockcreek CCD, Washington County, Oregon",2020,67,92678,463700,Washington,45.5510497,-122.8741537
"Beavercreek CCD, Clackamas County, Oregon",2021,5,90272,522900,Clackamas,45.2879294,-122.5353423
"Canby CCD, Clackamas County, Oregon",2021,5,90442,390600,Clackamas,45.262692,-122.6957402
"Colton CCD, Clackamas County, Oregon",2021,5,90595,440700,Clackamas,45.1721192,-122.4374803
"Estacada CCD, Clackamas County, Oregon",2021,5,91088,431200,Clackamas,45.2877198,-122.3351638
"Molalla CCD, Clackamas County, Oregon",2021,5,91955,350100,Clackamas,45.1475439,-122.5771264
"Mount Hood CCD, Clackamas County, Oregon",2021,5,92023,389100,Clackamas,45.2023855,-122.1188945
"Mulino CCD, Clackamas County, Oregon",2021,5,92040,528700,Clackamas,45.2212415,-122.5816606
"Northwest Clackamas CCD, Clackamas County, Oregon",2021,5,92261,462700,Clackamas,45.4074434,-122.5688975
"Redland CCD, Clackamas County, Oregon",2021,5,92618,507200,Clackamas,45.3434553,-122.4928664
"Sandy CCD, Clackamas County, Oregon",2021,5,92788,385100,Clackamas,45.3973141,-122.2630704
"Wilsonville CCD, Clackamas County, Oregon",2021,5,93536,486500,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",2021,5,93587,560200,Clackamas,45.1381769,-122.6817567
"Corbett CCD, Multnomah County, Oregon",2021,51,90663,496400,Multnomah,45.5318,-122.2912
"Gresham CCD, Multnomah County, Oregon",2021,51,91249,348600,Multnomah,45.5044715,-122.4356657
"Portland East CCD, Multnomah County, Oregon",2021,51,92518,437900,Multnomah,45.5165442,-122.6626984
"Portland West CCD, Multnomah County, Oregon",2021,51,92520,604000,Multnomah,45.4548406,-122.7325965
"Skyline CCD, Multnomah County, Oregon",2021,51,92975,705300,Multnomah,45.5145659,-122.5863212
"Beaverton-Hillsboro CCD, Washington County, Oregon",2021,67,90289,436300,Washington,45.5226664,-122.9898071
"Chehalem Mountains CCD, Washington County, Oregon",2021,67,90510,549600,Washington,45.3278962,-122.88871
"Coast Range CCD, Washington County, Oregon",2021,67,90561,455700,Washington,45.5469616,-123.1386021
"Forest Grove-Cornelius CCD, Washington County, Oregon",2021,67,91156,366600,Washington,45.5195,-123.1053
"North Plains CCD, Washington County, Oregon",2021,67,92210,497400,Washington,45.59778499999999,-123.0008365
"Rockcreek CCD, Washington County, Oregon",2021,67,92678,488800,Washington,45.5510497,-122.8741537
"Beavercreek CCD, Clackamas County, Oregon",2022,5,90272,644600,Clackamas,45.2879294,-122.5353423
"Canby CCD, Clackamas County, Oregon",2022,5,90442,455000,Clackamas,45.262692,-122.6957402
"Colton CCD, Clackamas County, Oregon",2022,5,90595,493300,Clackamas,45.1721192,-122.4374803
"Estacada CCD, Clackamas County, Oregon",2022,5,91088,511800,Clackamas,45.2877198,-122.3351638
"Molalla CCD, Clackamas County, Oregon",2022,5,91955,405600,Clackamas,45.1475439,-122.5771264
"Mount Hood CCD, Clackamas County, Oregon",2022,5,92023,468900,Clackamas,45.2023855,-122.1188945
"Mulino CCD, Clackamas County, Oregon",2022,5,92040,620200,Clackamas,45.2212415,-122.5816606
"Northwest Clackamas CCD, Clackamas County, Oregon",2022,5,92261,546200,Clackamas,45.4074434,-122.5688975
"Redland CCD, Clackamas County, Oregon",2022,5,92618,619100,Clackamas,45.3434553,-122.4928664
"Sandy CCD, Clackamas County, Oregon",2022,5,92788,473900,Clackamas,45.3973141,-122.2630704
"Wilsonville CCD, Clackamas County, Oregon",2022,5,93536,579200,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",2022,5,93587,673600,Clackamas,45.1381769,-122.6817567
"Corbett CCD, Multnomah County, Oregon",2022,51,90663,609400,Multnomah,45.5318,-122.2912
"Gresham CCD, Multnomah County, Oregon",2022,51,91249,410900,Multnomah,45.5044715,-122.4356657
"Portland East CCD, Multnomah County, Oregon",2022,51,92518,491300,Multnomah,45.5165442,-122.6626984
"Portland West CCD, Multnomah County, Oregon",2022,51,92520,663000,Multnomah,45.4548406,-122.7325965
"Skyline CCD, Multnomah County, Oregon",2022,51,92975,747100,Multnomah,45.5145659,-122.5863212
"Beaverton-Hillsboro CCD, Washington County, Oregon",2022,67,90289,501200,Washington,45.5226664,-122.9898071
"Chehalem Mountains CCD, Washington County, Oregon",2022,67,90510,660500,Washington,45.3278962,-122.88871
"Coast Range CCD, Washington County, Oregon",2022,67,90561,507000,Washington,45.5469616,-123.1386021
"Forest Grove-Cornelius CCD, Washington County, Oregon",2022,67,91156,429100,Washington,45.5195,-123.1053
"North Plains CCD, Washington County, Oregon",2022,67,92210,614700,Washington,45.59778499999999,-123.0008365
"Rockcreek CCD, Washington County, Oregon",2022,67,92678,573700,Washington,45.5510497,-122.8741537
"Beavercreek CCD, Clackamas County, Oregon",2023,5,90272,660600,Clackamas,45.2879294,-122.5353423
"Canby CCD, Clackamas County, Oregon",2023,5,90442,484700,Clackamas,45.262692,-122.6957402
"Colton CCD, Clackamas County, Oregon",2023,5,90595,555400,Clackamas,45.1721192,-122.4374803
"Estacada CCD, Clackamas County, Oregon",2023,5,91088,572400,Clackamas,45.2877198,-122.3351638
"Molalla CCD, Clackamas County, Oregon",2023,5,91955,438300,Clackamas,45.1475439,-122.5771264
"Mount Hood CCD, Clackamas County, Oregon",2023,5,92023,473300,Clackamas,45.2023855,-122.1188945
"Mulino CCD, Clackamas County, Oregon",2023,5,92040,650000,Clackamas,45.2212415,-122.5816606
"Northwest Clackamas CCD, Clackamas County, Oregon",2023,5,92261,593600,Clackamas,45.4074434,-122.5688975
"Redland CCD, Clackamas County, Oregon",2023,5,92618,660800,Clackamas,45.3434553,-122.4928664
"Sandy CCD, Clackamas County, Oregon",2023,5,92788,488200,Clackamas,45.3973141,-122.2630704
"Wilsonville CCD, Clackamas County, Oregon",2023,5,93536,605600,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",2023,5,93587,719800,Clackamas,45.1381769,-122.6817567
"Corbett CCD, Multnomah County, Oregon",2023,51,90663,654100,Multnomah,45.5318,-122.2912
"Gresham CCD, Multnomah County, Oregon",2023,51,91249,438300,Multnomah,45.5044715,-122.4356657
"Portland East CCD, Multnomah County, Oregon",2023,51,92518,525000,Multnomah,45.5165442,-122.6626984
"Portland West CCD, Multnomah County, Oregon",2023,51,92520,694000,Multnomah,45.4548406,-122.7325965
"Skyline CCD, Multnomah County, Oregon",2023,51,92975,780100,Multnomah,45.5145659,-122.5863212
"Beaverton-Hillsboro CCD, Washington County, Oregon",2023,67,90289,556000,Washington,45.5226664,-122.9898071
"Chehalem Mountains CCD, Washington County, Oregon",2023,67,90510,645300,Washington,45.3278962,-122.88871
"Coast Range CCD, Washington County, Oregon",2023,67,90561,550200,Washington,45.5469616,-123.1386021
"Forest Grove-Cornelius CCD, Washington County, Oregon",2023,67,91156,457200,Washington,45.5195,-123.1053
"North Plains CCD, Washington County, Oregon",2023,67,92210,645200,Washington,45.59778499999999,-123.0008365
"Rockcreek CCD, Washington County, Oregon",2023,67,92678,614800,Washington,45.5510497,-122.8741537
